http://test.de:80/Admin (CODE:301|SIZE:0);file
http://test.de:80/administration (CODE:301|SIZE:0);file
http://test.de:80/cvs (CODE:301|SIZE:0);file
http://test.de:80/extranet (CODE:301|SIZE:0);file
http://test.de:80/log (CODE:301|SIZE:0);file
http://test.de:80/logs (CODE:301|SIZE:0);file
http://test.de:80/lost%2Bfound (CODE:301|SIZE:0);file
http://test.de:80/pages (CODE:301|SIZE:0);file
http://test.de:80/phpmyadmin (CODE:301|SIZE:0);file
http://test.de:80/servlet (CODE:301|SIZE:0);file
http://test.de:80/servlets (CODE:301|SIZE:0);file
http://test.de:80/sources (CODE:301|SIZE:0);file
http://test.de:80/statistics (CODE:301|SIZE:0);file
http://test.de:80/stats (CODE:301|SIZE:0);file
